id,code_prefix_start,code_prefix_end,name
cr_group_1,1010000,1039999,Banco y efectivo
cr_group_2,1040000,1049999,Cuentas por cobrar
cr_group_3,1050000,1059999,Inventarios
cr_group_4,1060000,1069999,Pagados por anticipado
cr_group_5,1070000,1079999,Otros activos corrientes
cr_group_6,1110000,1189999,Activos Fijos
cr_group_7,1210000,1419999,Activos no corrientes
cr_group_8,2010000,2019999,Cuentas Por pagar
cr_group_9,2020000,2039999,Otros Pasivos Circulantes
cr_group_10,2110000,2119999,Pasivos no-circulantes
cr_group_11,3010000,3049999,Patrimonio
cr_group_12,4110000,4119999,Ingresos
cr_group_13,4210000,4519999,Otros ingresos
cr_group_14,5110000,5119999,Costo de ingresos
cr_group_15,5210000,5319999,Gastos operativos
cr_group_16,5410000,5419999,Gastos financieros
cr_group_17,5510000,5519999,Otros gastos deducibles
cr_group_18,5610000,5719999,Ajustes del periodo
cr_group_19,5810000,5819999,Depreciación
cr_group_20,6010000,6019999,Gastos no deducibles
cr_group_999,999000,999999,Cuentas de orden
